"INDEKS","SMER","DUZINA_STUDIRANJA","POLOZENO_ISPITA","PROSEK"
"20080072","Profesor matematike i racunarstva","5","38","7.02"
"20080074","Profesor matematike i racunarstva","5","38","7.78"
"20080075","Teorijska matematika i primene","4","38","9.63"
"20080076","Racunarstvo i informatika","5","40","8.02"
"20080079","Profesor matematike i racunarstva","4","37","8.45"
"20080084","Profesor matematike i racunarstva","4","38","8.63"
"20080089","Statistika, aktuarska i finansijska matematika","4","39","7.82"
"20080091","Statistika, aktuarska i finansijska matematika","4","39","7.69"
"20080092","Racunarstvo i informatika","5","39","8.66"
"20080093","Informatika","4","34","8.50"
"20080094","Informatika","4","37","8.86"
"20080095","Racunarstvo i informatika","4","38","9.97"
"20080097","Racunarstvo i informatika","4","40","8.72"
"20080098","Profesor matematike i racunarstva","4","38","7.71"
"20080100","Teorijska matematika i primene","5","38","9.00"
"20080101","Profesor matematike i racunarstva","4","38","9.57"
"20080102","Statistika, aktuarska i finansijska matematika","4","39","7.94"
"20080105","Racunarstvo i informatika","4","40","9.62"
"20080106","Teorijska matematika i primene","4","41","10.00"
"20080112","Racunarstvo i informatika","5","38","7.50"
"20080113","Informatika","3","30","9.46"
"20080115","Informatika","3","30","8.70"
"20080119","Statistika, aktuarska i finansijska matematika","4","41","8.02"
"20080124","Profesor matematike i racunarstva","5","38","8.60"
"20080126","Statistika, aktuarska i finansijska matematika","4","39","9.28"
"20080128","Profesor matematike i racunarstva","5","38","7.39"
"20080132","Astrofizika","4","33","9.03"
"20080133","Statistika, aktuarska i finansijska matematika","5","39","7.17"
"20080134","Statistika, aktuarska i finansijska matematika","4","39","8.87"
"20080142","Racunarstvo i informatika","5","40","7.07"
"20080143","Statistika, aktuarska i finansijska matematika","4","39","9.20"
"20080150","Informatika","4","29","6.75"
"20080155","Informatika","3","30","9.00"
"20080156","Profesor matematike i racunarstva","5","38","7.39"
"20080157","Statistika, aktuarska i finansijska matematika","4","39","9.48"
"20080160","Teorijska matematika i primene","5","40","9.32"
"20080163","Profesor matematike i racunarstva","5","38","7.15"
"20080165","Statistika, aktuarska i finansijska matematika","4","39","8.02"
"20080166","Teorijska matematika i primene","4","40","10.00"
"20080169","Profesor matematike i racunarstva","4","38","9.05"
"20080170","Informatika","3","30","7.26"
"20080172","Statistika, aktuarska i finansijska matematika","4","39","7.35"
"20080174","Racunarstvo i informatika","5","40","8.17"
"20080175","Informatika","3","30","8.36"
"20080177","Statistika, aktuarska i finansijska matematika","4","39","8.33"
"20080178","Profesor matematike i racunarstva","4","38","8.71"
"20080183","Informatika","3","30","8.63"
"20080189","Profesor matematike i racunarstva","4","38","7.39"
"20080191","Profesor matematike i racunarstva","4","37","8.13"
"20080193","Informatika","3","30","7.20"
"20080199","Statistika, aktuarska i finansijska matematika","4","39","7.35"
"20080204","Profesor matematike i racunarstva","4","38","8.13"
"20080205","Profesor matematike i racunarstva","4","38","8.26"
"20080206","Profesor matematike i racunarstva","4","38","8.28"
"20080208","Informatika","3","30","8.53"
"20080215","Informatika","4","30","7.00"
"20080220","Racunarstvo i informatika","4","40","9.30"
"20080221","Profesor matematike i racunarstva","4","38","8.28"
"20080223","Informatika","4","30","7.50"
"20080224","Racunarstvo i informatika","4","38","9.55"
"20080250","Informatika","3","30","8.30"
"20080252","Informatika","3","30","8.16"
"20080260","Profesor matematike i racunarstva","5","38","7.07"
"20080266","Informatika","4","30","7.76"
"20080273","Informatika","3","30","8.50"
"20080285","Informatika","2","30","6.36"
"20080287","Informatika","4","30","6.90"
"20080288","Profesor matematike i racunarstva","8","41","7.68"
"20080299","Profesor matematike i racunarstva","3","38","7.26"
"20080309","Racunarstvo i informatika","4","40","7.17"
"20080312","Profesor matematike i racunarstva","5","38","7.39"
"20080321","Profesor matematike i racunarstva","3","38","7.21"
"20080328","Profesor matematike i racunarstva","4","38","7.44"
"20080332","Profesor matematike i racunarstva","3","38","7.42"
"20080348","Racunarstvo i informatika","1","40","7.87"
"20080350","Informatika","4","29","6.48"
"20080356","Statistika, aktuarska i finansijska matematika","3","26","9.53"
"20090021","Matematika","4","44","10.00"
"20090026","Matematika","4","44","9.36"
"20090027","Matematika","4","42","8.83"
"20090033","Matematika","4","44","9.13"
"20090039","Matematika","4","44","7.22"
"20090043","Matematika","4","43","7.97"
"20090054","Matematika","4","42","8.80"
"20090055","Matematika","4","42","9.28"
"20090059","Matematika","4","43","8.67"
"20090060","Matematika","4","43","9.25"
"20090062","Matematika","4","44","9.11"
"20090063","Matematika","4","43","9.00"
"20090066","Matematika","4","42","9.02"
"20090080","Matematika","4","44","9.97"
"20090082","Matematika","4","42","8.54"
"20090083","Astronomija i astrofizika","4","37","9.21"
"20090091","Matematika","4","43","7.81"
"20090094","Matematika","4","43","9.20"
"20090096","Matematika","4","43","9.00"
"20090099","Matematika","4","42","9.97"
"20090102","Matematika","4","43","8.18"
"20090104","Matematika","4","43","10.00"
"20090105","Matematika","4","42","8.88"
"20090116","Matematika","4","42","7.76"
"20090120","Matematika","4","42","8.59"
"20090123","Matematika","4","42","8.14"
"20090132","Matematika","4","44","8.86"
"20090138","Matematika","4","42","8.26"
"20090140","Matematika","4","43","7.88"
"20090141","Matematika","4","43","9.13"
"20090143","Matematika","4","41","8.70"
"20090149","Matematika","4","43","7.53"
"20090155","Matematika","4","42","9.28"
"20090158","Matematika","4","44","9.81"
"20090160","Matematika","4","42","8.30"
"20090161","Matematika","4","42","8.95"
"20090164","Matematika","4","43","9.25"
"20090175","Matematika","4","42","8.50"
"20090186","Matematika","4","43","9.00"
"20090187","Matematika","4","44","10.00"
"20090188","Matematika","4","43","9.60"
"20090195","Astronomija i astrofizika","4","37","9.64"
"20090197","Matematika","4","42","9.80"
"20090204","Matematika","4","43","8.41"
"20090205","Matematika","4","43","8.90"
"20090208","Matematika","4","43","7.83"
"20090211","Matematika","4","44","8.72"
"20090216","Matematika","4","42","8.26"
"20090217","Matematika","4","43","8.72"
"20090272","Matematika","4","42","7.69"
"20090339","Informatika","4","29","7.06"
"20090340","Racunarstvo i informatika","3","40","6.80"
"20090345","Racunarstvo i informatika","3","40","7.35"

